PyIndex,Year,University,State,List_Tuition,Rank,Private,CPI,Southern,Lag_APGAF,Lag_AFSLAF,Lag_Applicants,MPGA,MUFSLA,Key
155,2011,Stanford University,CA,41564.00,5,1,224.9,0,4340,5239,34348,5910,3500,Stanford University 2011
156,2011,Massachusetts Institute of Technology,MA,40732.00,7,1,224.9,0,4159,4829,17909,5910,3500,Massachusetts Institute of Technology 2011
157,2011,University of Pennsylvania,PA,42098.00,5,1,224.9,0,4190,4872,31663,5910,3500,University of Pennsylvania 2011
158,2011,Duke University,NC,41938.00,9,1,224.9,1,4289,4108,25462,5910,3500,Duke University 2011
159,2011,California Institute of Technology,CA,37704.00,7,1,224.9,0,3828,3723,5225,5910,3500,California Institute of Technology 2011
160,2011,Dartmouth College,NH,42996.00,9,1,224.9,0,3942,4915,18778,5910,3500,Dartmouth College 2011
161,2011,Johns Hopkins University,MD,42280.00,13,1,224.9,1,4246,4398,20203,5910,3500,Johns Hopkins University 2011
162,2011,Northwestern University,IL,41983.00,12,1,224.9,0,4109,4524,27528,5910,3500,Northwestern University 2011
163,2011,Brown University,RI,42230.00,15,1,224.9,0,4320,5767,30944,5910,3500,Brown University 2011
164,2011,Cornell University,NY,41541.00,15,1,224.9,0,4143,3989,36387,5910,3500,Cornell University 2011
165,2011,Washington University in St Louis,MO,41992.00,13,1,224.9,0,3866,5390,28823,5910,3500,Washington University in St Louis 2011
166,2011,Vanderbilt University,TN,41332.00,17,1,224.9,0,3996,5000,24837,5910,3500,Vanderbilt University 2011
167,2011,Rice University,TX,35551.00,17,1,224.9,0,4412,4291,13816,5910,3500,Rice University 2011
168,2011,University of Notre Dame,IN,41417.00,19,1,224.9,0,4051,4491,16548,5910,3500,University of Notre Dame 2011
169,2011,Emory University,GA,41164.00,20,1,224.9,1,4469,5140,15550,5910,3500,Emory University 2011
170,2011,University of California-Berkeley,CA,12834.00,22,0,224.9,0,4571,5039,50374,5910,3500,University of California-Berkeley 2011
171,2011,Georgetown University,DC,41393.00,21,1,224.9,0,4204,3907,18077,5910,3500,Georgetown University 2011
172,2011,University of Southern California,CA,42818.00,23,1,224.9,0,4369,5603,37210,5910,3500,University of Southern California 2011
173,2011,University of California-Los Angeles,CA,12686.00,25,0,224.9,0,4499,5150,61545,5910,3500,University of California-Los Angeles 2011
174,2011,Carnegie Mellon University,PA,44010.00,23,1,224.9,0,4311,5575,16527,5910,3500,Carnegie Mellon University 2011
175,2011,University of Virginia-Main Campus,VA,11786.00,25,0,224.9,1,4225,5932,23583,5910,3500,University of Virginia-Main Campus 2011
176,2011,Wake Forest University,NC,41576.00,25,1,224.9,1,3725,5703,9869,5910,3500,Wake Forest University 2011
177,2011,Tufts University,MA,42962.00,28,1,224.9,0,4312,3991,17130,5910,3500,Tufts University 2011
178,2011,University of Michigan-Ann Arbor,MI,12634.00,29,0,224.9,0,4391,5380,39584,5910,3500,University of Michigan-Ann Arbor 2011
179,2011,University of North Carolina at Chapel Hill,NC,7009.00,30,0,224.9,1,4316,4812,22288,5910,3500,University of North Carolina at Chapel Hill 2011
180,2010,Princeton University,NJ,36640.00,1,1,218.1,0,4010,4815,26247,6130,3500,Princeton University 2010
181,2010,Harvard University,MA,38415.00,1,1,218.1,0,4369,4028,30489,6130,3500,Harvard University 2010
182,2010,Yale University,CT,38300.00,3,1,218.1,0,4294,4569,26003,6130,3500,Yale University 2010
183,2010,Columbia University in the City of New York,NY,43304.00,8,1,218.1,0,4238,6009,25427,6130,3500,Columbia University in the City of New York 2010
184,2010,University of Chicago,IL,42041.00,8,1,218.1,0,4085,4925,19340,6130,3500,University of Chicago 2010
185,2010,Stanford University,CA,40172.00,4,1,218.1,0,4218,5158,32022,6130,3500,Stanford University 2010
186,2010,Massachusetts Institute of Technology,MA,39212.00,4,1,218.1,0,4377,4644,16632,6130,3500,Massachusetts Institute of Technology 2010
187,2010,University of Pennsylvania,PA,40514.00,4,1,218.1,0,4120,5147,26941,6130,3500,University of Pennsylvania 2010
188,2010,Duke University,NC,40243.00,10,1,218.1,1,4293,3863,22280,6130,3500,Duke University 2010
189,2010,California Institute of Technology,CA,36282.00,4,1,218.1,0,3725,4687,4859,6130,3500,California Institute of Technology 2010
190,2010,Dartmouth College,NH,40437.00,11,1,218.1,0,4188,4730,18132,6130,3500,Dartmouth College 2010
191,2010,Johns Hopkins University,MD,40680.00,14,1,218.1,1,4446,4443,18735,6130,3500,Johns Hopkins University 2010
192,2010,Northwestern University,IL,40223.00,12,1,218.1,0,3982,4729,25369,6130,3500,Northwestern University 2010
193,2010,Brown University,RI,40820.00,16,1,218.1,0,4267,5324,30135,6130,3500,Brown University 2010
194,2010,Cornell University,NY,39666.00,15,1,218.1,0,4120,4087,36338,6130,3500,Cornell University 2010
195,2010,Washington University in St Louis,MO,40369.00,12,1,218.1,0,3725,5837,24828,6130,3500,Washington University in St Louis 2010
196,2010,Vanderbilt University,TN,39930.00,17,1,218.1,0,4146,5220,21811,6130,3500,Vanderbilt University 2010
197,2010,Rice University,TX,33771.00,17,1,218.1,0,4082,4218,12393,6130,3500,Rice University 2010
198,2010,University of Notre Dame,IN,39919.00,20,1,218.1,0,3936,4340,14521,6130,3500,University of Notre Dame 2010
199,2010,Emory University,GA,39158.00,17,1,218.1,1,4234,5168,15599,6130,3500,Emory University 2010
200,2010,University of California-Berkeley,CA,10940.00,21,0,218.1,0,4437,4852,48682,6130,3500,University of California-Berkeley 2010
201,2010,Georgetown University,DC,40203.00,23,1,218.1,0,4136,3600,18616,6130,3500,Georgetown University 2010
202,2010,University of Southern California,CA,41022.00,26,1,218.1,0,4302,5546,35794,6130,3500,University of Southern California 2010
203,2010,University of California-Los Angeles,CA,10781.00,24,0,218.1,0,4457,5175,55694,6130,3500,University of California-Los Angeles 2010
204,2010,Carnegie Mellon University,PA,42136.00,22,1,218.1,0,4202,5556,15496,6130,3500,Carnegie Mellon University 2010
205,2010,University of Virginia-Main Campus,VA,10828.00,24,0,218.1,1,4046,5748,22124,6130,3500,University of Virginia-Main Campus 2010
206,2010,Wake Forest University,NC,39970.00,28,1,218.1,1,3933,5591,10566,6130,3500,Wake Forest University 2010
207,2010,Tufts University,MA,41598.00,28,1,218.1,0,4151,4246,15433,6130,3500,Tufts University 2010
208,2010,University of Michigan-Ann Arbor,MI,11837.00,27,0,218.1,0,4273,5447,31613,6130,3500,University of Michigan-Ann Arbor 2010
209,2010,University of North Carolina at Chapel Hill,NC,6665.00,28,0,218.1,1,4415,4805,23225,6130,3500,University of North Carolina at Chapel Hill 2010
